author,gutenberg_id,title
"Austen, Jane ",31100,The Complete Project Gutenberg Works of Jane AustenA Linked Index of all PG Editions of Jane Austen
"Austen, Jane ",158,Emma
"Austen, Jane ",946,Lady Susan
"Austen, Jane ",42078,"The Letters of Jane AustenSelected from the compilation of her great nephew, Edward, Lord Bradbourne"
"Austen, Jane ",1212,Love and Freindship [sic]
"Austen, Jane ",141,Mansfield Park
"Austen, Jane ",121,Northanger Abbey
"Austen, Jane ",43741,Old Friends and New Fancies: An Imaginary Sequel to the Novels of Jane Austen
"Austen, Jane ",105,Persuasion
"Austen, Jane ",42671,Pride and Prejudice
"Austen, Jane ",1342,Pride and Prejudice
"Austen, Jane ",37431,"Pride and Prejudice, a play founded on Jane Austen's novel"
"Austen, Jane ",21839,Sense and Sensibility
"Austen, Jane ",161,Sense and Sensibility
"Dickens, Charles ",675,American Notes
"Dickens, Charles ",25985,Bardell v. Pickwick
"Dickens, Charles ",917,Barnaby Rudge: A Tale of the Riots of 'Eighty
"Dickens, Charles ",676,The Battle of Life
"Dickens, Charles ",40723,The Battle of Life: A Love Story
"Dickens, Charles ",44578,"Bentley's Miscellany, Volume I"
"Dickens, Charles ",46804,"Bentley's Miscellany, Volume II"
"Dickens, Charles ",1023,Bleak House
"Dickens, Charles ",28198,A Budget of Christmas Tales by Charles Dickens and Others
"Dickens, Charles ",23765,"Captain Boldheart & the Latin-Grammar MasterA Holiday Romance from the Pen of Lieut-Col. Robin Redforth, aged 9"
"Dickens, Charles ",37121,Charles Dickens' Children Stories
"Dickens, Charles ",42232,A Child's Dream of a Star
"Dickens, Charles ",699,A Child's History of England
"Dickens, Charles ",653,"The ChimesA Goblin Story of Some Bells That Rang an Old Year out and a New Year In"
"Dickens, Charles ",19337,A Christmas Carol
"Dickens, Charles ",24022,A Christmas Carol
"Dickens, Charles ",46,A Christmas Carol in Prose; Being a Ghost Story of Christmas
"Dickens, Charles ",41739,"A Christmas Carol; Or, The Miser's Warning!(Adapted from Charles Dickens' Celebrated Work.)"
"Dickens, Charles ",30368,A Christmas CarolThe original manuscript
"Dickens, Charles ",41894,Christmas-Tide
"Dickens, Charles ",20795,The Cricket on the Hearth
"Dickens, Charles ",37581,The Cricket on the Hearth: A Fairy Tale of Home
"Dickens, Charles ",678,The Cricket on the Hearth: A Fairy Tale of Home
"Dickens, Charles ",49683,Cruikshank's Water Colours
"Dickens, Charles ",766,David Copperfield
"Dickens, Charles ",32372,Dickens's Children: Ten Drawings
"Dickens, Charles ",32241,Dickens' Stories About Children Every Child Can Read
"Dickens, Charles ",1415,Doctor Marigold
"Dickens, Charles ",821,Dombey and Son
"Dickens, Charles ",59813,The Footpath Way: An Anthology for Walkers
"Dickens, Charles ",810,George Silverman's Explanation
"Dickens, Charles ",1422,Going into Society
"Dickens, Charles ",10135,"The Great English Short-Story Writers, Volume 1"
"Dickens, Charles ",1400,Great Expectations
"Dickens, Charles ",786,Hard Times
"Dickens, Charles ",644,The Haunted Man and the Ghost's Bargain
"Dickens, Charles ",809,Holiday Romance
"Dickens, Charles ",1394,The Holly-Tree
"Dickens, Charles ",2324,A House to Let
"Dickens, Charles ",807,Hunted Down: The Detective Stories of Charles Dickens
"Dickens, Charles ",58157,Index of the Project Gutenberg Works of Charles Dickens
"Dickens, Charles ",927,The Lamplighter
"Dickens, Charles ",888,The Lazy Tour of Two Idle Apprentices
"Dickens, Charles ",2303,Legends and Lyrics. Part 1
"Dickens, Charles ",25852,"The Letters of Charles DickensVol. 1, 1833-1856"
"Dickens, Charles ",25853,"The Letters of Charles DickensVol. 2, 1857-1870"
"Dickens, Charles ",25854,"The Letters of Charles DickensVol. 3, 1836-1870"
"Dickens, Charles ",963,Little Dorrit
"Dickens, Charles ",1831,The Lock and Key Library: Classic Mystery and Detective Stories: Old Time English
"Dickens, Charles ",15618,The Loving Ballad of Lord Bateman
"Dickens, Charles ",23344,"The Magic FishboneA Holiday Romance from the Pen of Miss Alice Rainbird, Aged 7"
"Dickens, Charles ",968,Martin Chuzzlewit
"Dickens, Charles ",588,Master Humphrey's Clock
"Dickens, Charles ",46709,Memoirs of Joseph Grimaldi
"Dickens, Charles ",1407,A Message from the Sea
"Dickens, Charles ",1421,Mrs. Lirriper's Legacy
"Dickens, Charles ",1416,Mrs. Lirriper's Lodgings
"Dickens, Charles ",912,Mudfog and Other Sketches
"Dickens, Charles ",1419,Mugby Junction
"Dickens, Charles ",27924,Mugby Junction
"Dickens, Charles ",564,The Mystery of Edwin Drood
"Dickens, Charles ",52125,"Nell and Her Grandfather, Told from Charles Dickens's ""The Old Curiosity Shop"""
"Dickens, Charles ",967,Nicholas Nickleby
"Dickens, Charles ",1423,No Thoroughfare
"Dickens, Charles ",700,The Old Curiosity Shop
